name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lubbock,2024-02-27,25,8.3,20.3,25,3.7,20.1,0.4,28.1,0,0,0,,0,0,99.8,71.9,259.8,1002.2,84.4,12.5,95.2,8.2,4,10,2024-02-27T07:18:37,2024-02-27T18:42:11,0.61,Partially cloudy,Partly cloudy throughout the day.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-28,7.2,-0.7,3.6,4.5,-6.1,-0.5,-9.9,39.1,0,0,0,,0,0,62.6,44.5,52.5,1023.2,93.5,15.1,133.6,11.5,7,10,2024-02-28T07:17:25,2024-02-28T18:43:01,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-29,7.8,0,3.5,5,-4.3,0,-2.3,67.2,0.998,100,12.5,"rain,snow",0.3,0.1,31.7,24,163.9,1021.9,74.3,15.2,88,7.6,4,10,2024-02-29T07:16:12,2024-02-29T18:43:51,0.68,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-01,24.3,2.2,13.1,24.3,-1.3,11.6,0.1,51.8,0,0,0,,0,0,59.2,42.4,254.6,1013.3,11.1,14,241,20.9,8,10,2024-03-01T07:14:59,2024-03-01T18:44:41,0.71,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-02,25.6,2.8,15.3,25.6,-0.6,14.5,-4.2,32,0,0,0,,0,0,57.4,40.6,245.2,1009.7,29.9,16,247.6,21.4,9,10,2024-03-02T07:13:45,2024-03-02T18:45:31,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-03,27.2,9.9,19.1,26.1,7.3,18.8,-7.6,16.9,0,0,0,,0,0,53.4,38.7,227.1,1004.1,14.5,16,250.3,21.7,9,10,2024-03-03T07:12:30,2024-03-03T18:46:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-04,23.8,7.1,15.8,23.8,5.7,15.4,-3.9,27.2,0,0,0,,0,0,55.4,26.1,246.1,1006.3,62.3,16,243.4,21,9,10,2024-03-04T07:11:14,2024-03-04T18:47:09,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-05,22.8,2.8,12.1,22.8,-1.2,10.6,-1.1,43.9,0,0,0,,0,0,27.7,38.6,86.5,1010.7,40.9,16,218.3,18.7,9,10,2024-03-05T07:09:58,2024-03-05T18:47:57,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-06,22.8,2.2,12.2,22.8,-0.2,11.3,2.7,59.7,0,0,0,,0,0,36.9,27.6,160.5,1009.9,67.8,15.2,197.5,17.1,7,10,2024-03-06T07:08:42,2024-03-06T18:48:45,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-07,23.3,11.1,18.2,23.3,11.1,18.2,-2.8,25.4,0,0,0,,0,0,60.8,27.8,231.7,1002.6,71.2,16,178.7,15.5,8,10,2024-03-07T07:07:25,2024-03-07T18:49:33,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-08,10,2.2,5.4,7.9,-3.6,0.5,0.1,71.1,0,0,0,,0,0,55.3,42.4,2.7,1012.8,91.4,15,48.9,4.4,3,10,2024-03-08T07:06:07,2024-03-08T18:50:21,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-09,12.8,1.1,5.7,12.8,-5.5,3.3,-2.9,56.6,0,0,0,,0,0,51.8,35.2,6.6,1023.5,52.3,16,212.5,18.3,9,10,2024-03-09T07:04:49,2024-03-09T18:51:08,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-10,17.2,-1.2,8.8,17.2,-5,7.7,-3.4,46.1,0,0,0,,0,0,38.8,25.9,218.5,1021.3,18.2,16,271.1,22.5,9,10,2024-03-10T08:03:31,2024-03-10T19:51:56,0,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-11,22.2,4.3,13.3,22.2,1.6,12,-1.7,39.9,0,0,0,,0,0,53.5,35.2,203.4,1016.4,30.4,16,261.5,22.6,9,10,2024-03-11T08:02:12,2024-03-11T19:52:43,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-12,26.7,7.2,17.1,26.1,4.2,16.5,-3.3,31.1,0,0,0,,0,0,51.8,35,229.5,1010.1,47,16,232.3,20,9,10,2024-03-12T08:00:53,2024-03-12T19:53:29,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-13,26.1,7.8,17.7,26.1,5.2,17.4,-6.8,19.5,0,0,0,,0,0,87.5,51.5,242.7,1003.4,39.1,16,261.5,22.4,9,10,2024-03-13T07:59:34,2024-03-13T19:54:16,0.11,Partially cloudy,Becoming cloudy in the afternoon.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-14,23.3,7.2,14.8,23.3,4.5,14.2,-1.5,35.3,0,0,0,,0,0,38.9,27.7,327.1,1007.7,59.2,16,261.2,22.6,9,10,2024-03-14T07:58:14,2024-03-14T19:55:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-15,11.7,6.1,8.7,11.7,0.7,5.3,4.8,76.7,3.59,100,12.5,rain,0,0,66.6,42.3,46.5,1018.4,79.8,15.4,74.4,6.3,4,10,2024-03-15T07:56:55,2024-03-15T19:55:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-16,10.6,7.2,8.9,10.6,4.5,6.9,7.2,89.4,5.798,100,33.33,rain,0,0,22.3,22,53.8,1016.8,100,11.1,49.1,4.1,3,10,2024-03-16T07:55:34,2024-03-16T19:56:34,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-17,12.2,7.2,9.8,12.2,5.4,8.5,6.7,82.1,0.59,100,8.33,rain,0,0,38.8,27.7,57.1,1017,93.5,12.9,37.9,3.3,1,10,2024-03-17T07:54:14,2024-03-17T19:57:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-18,16.7,1.6,9.5,16.7,-2.3,8.7,1.3,60.8,0,0,0,,0,0,27.7,18.2,102,1023.3,52.6,16,258.3,22.4,9,10,2024-03-18T07:52:54,2024-03-18T19:58:05,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-19,19.3,6.1,12.3,19.3,2.9,11.2,3.8,57.9,0,0,0,,0,0,49.9,25.9,203.8,1018,28.4,16,261.6,22.5,9,10,2024-03-19T07:51:33,2024-03-19T19:58:50,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-20,23.8,7.8,15.6,23.8,5.5,15,4.4,53.3,0.492,100,4.17,rain,0,0,53.6,34.9,219.5,1011.9,75.5,16,237.5,20.5,10,10,2024-03-20T07:50:12,2024-03-20T19:59:36,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-21,19.9,10,14.2,19.9,10,14.2,8.1,68.4,0.541,100,12.5,rain,0,0,57.4,33.3,158.9,1010,81.5,16,212,18.2,8,10,2024-03-21T07:48:51,2024-03-21T20:00:21,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLBB,KPVW,72267023042,72217423097,E3644,remote"
Lubbock,2024-03-22,23.3,4.9,13.8,23.3,2.4,13.3,5.4,63.1,0,0,0,,0,0,49.8,33.4,48.2,1012.8,16.7,15.9,272,23.5,9,10,2024-03-22T07:47:31,2024-03-22T20:01:06,0.41,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-23,17.1,4.3,10.6,17.1,1.3,9,5.8,73.1,0,0,0,,0,0,53.4,35.2,132.9,1014.7,70.8,15.9,145.8,12.6,6,10,2024-03-23T07:46:10,2024-03-23T20:01:51,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-24,22.2,12.2,16.3,22.2,12.2,16.3,2.4,46.7,0,0,0,,0,0,109,75.8,215.3,995.9,67.4,12,230.7,19.9,9,10,2024-03-24T07:44:49,2024-03-24T20:02:35,0.48,Partially cloudy,Partly cloudy throughout the day.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-25,11.1,1.7,6.8,11.1,-1.9,3,-4.8,44.3,0,0,0,,0,0,68.4,42.3,308,999.5,58.4,16,279.4,24,10,10,2024-03-25T07:43:28,2024-03-25T20:03:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-26,15,-2.8,5.6,15,-6.4,3.9,-2.8,58.3,0,0,0,,0,0,29.5,33.2,201.8,1011,51.8,16,288.8,25.1,9,10,2024-03-26T07:42:07,2024-03-26T20:04:05,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-27,17.8,1.1,9.4,17.8,-2.2,7.6,-0.5,54.2,0,0,0,,0,0,51.8,36.7,347.8,1014.6,39.6,16,297.4,25.7,9,10,2024-03-27T07:40:46,2024-03-27T20:04:49,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-28,23.8,0.6,12.6,23.8,-1.9,11.4,-2.8,46.7,0,0,0,,0,0,61,40.6,192.9,1017.2,30.3,15.9,295.1,25.4,9,10,2024-03-28T07:39:26,2024-03-28T20:05:34,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-29,26.7,12.8,18.5,25.9,12.8,18.4,2.5,37,0,0,0,,0,0,48.2,37.1,201.2,1007.1,64.8,16,170.3,14.6,6,10,2024-03-29T07:38:05,2024-03-29T20:06:18,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-30,27.2,6.7,19.2,26.6,4.2,18.7,1.1,36.5,0,0,0,,0,0,51.8,33.2,222.4,1007.7,73.9,16,209.7,18.2,8,10,2024-03-30T07:36:45,2024-03-30T20:07:03,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-03-31,22.8,14.3,19.8,22.8,14.3,19.8,7.7,48.6,0,0,0,,0,0,49.7,33.3,208,1004.1,93.6,16,102.7,8.8,5,10,2024-03-31T07:35:25,2024-03-31T20:07:47,0.72,Overcast,Cloudy skies throughout the day.,cloudy,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-01,24.9,11.1,17.1,24.9,11.1,17.1,4.5,45.5,0,0,0,,0,0,80.5,51.7,273.9,1002.4,76.2,15.5,167.2,14.5,9,10,2024-04-01T07:34:05,2024-04-01T20:08:31,0.75,Partially cloudy,Partly cloudy throughout the day.,wind,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-04-02,15.6,3.3,9.8,15.6,-1.1,7.7,-1.3,50.9,0,0,0,,0,0,81.2,46.2,338.4,1014,36.9,16,260,22.4,10,10,2024-04-02T07:32:46,2024-04-02T20:09:16,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
